,Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,place_id,googlename,googlelat,googlelon,googleaddress,cost,multiple,how
7093,OAKLEY FOODS,-87.68276999999999,41.833839000000005,3300 S Oakley Ave,,Chicago,IL,60608,6025.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7094,WALGREENS  03395,-87.71079300000001,41.866333000000004,3401 W Roosevelt Rd,,Chicago,IL,60624,4339.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7095,LA IMPERIAL,-90.536049,41.505783,134 4th Ave,,Moline,IL,61265,1132.0,ROCK ISLAND,0,0,0.0,0.0,0,0.0,0,0
7096,STOP N GO 527,-89.068527,41.908885999999995,1000 S 7th St,,Rochelle,IL,61068,9309.0,OGLE,0,0,0.0,0.0,0,0.0,0,0
7097,EL FARO FOODS,-87.746521,41.916911999999996,4807 W Armitage Ave,,Chicago,IL,60639,3212.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7098,RANTOUL FOOD MART,-88.136398,40.307289000000004,515 S Maplewood Dr,,Rantoul,IL,61866,3203.0,CHAMPAIGN,0,0,0.0,0.0,0,0.0,0,0
7099,Jewel 3290,-87.843681,41.908058000000004,800 W North Ave,,Melrose Park,IL,60160,,COOK,0,0,0.0,0.0,0,0.0,0,0
7100,LA JEREZANA,-87.550285,41.730121999999994,3022 E 91st St,,Chicago,IL,60617,4301.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7101,WALLER'S MARKET,-89.611717,38.307308,6031 State Route 153,,Oakdale,IL,62268,1219.0,WASHINGTON,0,0,0.0,0.0,0,0.0,0,0
7102,CISNE KEY MARKET,-88.362755,38.515583,98TH & MULBERRY,,CISNE,IL,62823,,WAYNE,0,0,0.0,0.0,0,0.0,0,0
7103,Casey's General Store 1852,-89.290726,40.917862,106 E Oblique St,,Washburn,IL,61570,7566.0,MARSHALL,0,0,0.0,0.0,0,0.0,0,0
7104,FARMERS' PACKING INC,-88.056282,38.377033000000004,657 Illinois Route 15,,Albion,IL,62806,4455.0,EDWARDS,0,0,0.0,0.0,0,0.0,0,0
7105,KG'S FRUIT & VEGETABLE MKT,-88.533401,38.089489,309 E Randolph St,,MC Leansboro,IL,62859,1542.0,HAMILTON,0,0,0.0,0.0,0,0.0,0,0
7106,7 Eleven 33592,-87.629524,41.886070000000004,200 N Dearborn St,,Chicago,IL,60601,1616.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7107,WALGREENS  04732,-89.61842299999999,40.559467,2020 Court St,,Pekin,IL,61554,5215.0,TAZEWELL,0,0,0.0,0.0,0,0.0,0,0
7108,THE PRODUCE CENTER,-87.778633,41.98753,5820 N Milwaukee Ave,,Chicago,IL,60646,5414.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7109,SAVE-A-LOT FOOD STORES,-87.71800999999999,41.630913,14404 Pulaski Rd,,Midlothian,IL,60445,2823.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7110,WALGREENS 11493,-89.631348,40.56773,1400 Broadway St,,Pekin,IL,61554,3879.0,TAZEWELL,0,0,0.0,0.0,0,0.0,0,0
7111,CARNICERIA EL TORITO #2,-87.77034,41.858276000000004,5830 W 16th St,,Cicero,IL,60804,1728.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7112,WALGREENS  5544,-89.57511099999999,40.731891999999995,1200 E War Memorial Dr,,Peoria Heights,IL,61616,7723.0,PEORIA,0,0,0.0,0.0,0,0.0,0,0
7113,Kmart 4984,-87.794044,41.594913,16300 Harlem Ave,,Tinley Park,IL,60477,2576.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7114,Walgreens 03181,-89.593819,40.717751,2515 N Knoxville Ave,,Peoria,IL,61604,3621.0,PEORIA,0,0,0.0,0.0,0,0.0,0,0
7115,WALGREENS 09920,-90.034973,40.562698,555 N Main St,,Canton,IL,61520,1829.0,FULTON,0,0,0.0,0.0,0,0.0,0,0
7116,ALDI 66,-87.92244000000001,42.068645000000004,1000 Mount Prospect Plz,,Mount Prospect,IL,60056,2669.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7117,WALGREENS  2025,-87.64634699999999,41.83939,3000 S Halsted St,,Chicago,IL,60608,5805.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7118,WALGREENS  2986,-88.259834,42.046371,815 Summit St,,Elgin,IL,60120,4315.0,KANE,0,0,0.0,0.0,0,0.0,0,0
7119,Casey's General Store 1866,-87.759102,39.005531,1603 W Main St,,Robinson,IL,62454,3822.0,CRAWFORD,0,0,0.0,0.0,0,0.0,0,0
7120,ALDI 15,-87.66526,41.506046000000005,527 W 14th St,,Chicago Heights,IL,60411,2322.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7121,Casey's General Store 1851,-90.190804,38.958271,6301 Godfrey Rd,,Godfrey,IL,62035,2214.0,MADISON,0,0,0.0,0.0,0,0.0,0,0
7122,Casey's General Store 1859,-89.706535,41.771042,1201 W Route 30,,Rock Falls,IL,61071,2648.0,WHITESIDE,0,0,0.0,0.0,0,0.0,0,0
7123,JEWEL 3476,-87.93089300000001,42.087883000000005,333 E Euclid Ave,,Mount Prospect,IL,60056,1288.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7124,THE CUPBOARD,-89.55313100000001,37.932465,14967 HC 4,,CAMPBELL HILL,IL,62916,,JACKSON,0,0,0.0,0.0,0,0.0,0,0
7125,KAMDAR PLAZA  INC,-87.69664,41.997646,2646 W Devon Ave,,Chicago,IL,60659,1811.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7126,Casey's General Store 1857,-88.932671,37.821632,1117 Grand Ave,,Johnston City,IL,62951,1230.0,WILLIAMSON,0,0,0.0,0.0,0,0.0,0,0
7127,Casey's General Store 1856,-89.23593100000001,38.003349,614 S Washington St,,Du Quoin,IL,62832,1906.0,PERRY,0,0,0.0,0.0,0,0.0,0,0
7128,GORDON FOOD SERVICE  MP58,-87.713249,41.509171,20930 Crawford Ave,,Olympia Fields,IL,60461,1091.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7129,Whole Foods Market,-87.66877,41.941887,3300 N Ashland Ave,,Chicago,IL,60657,2109.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7130,SHOP 'N SAVE 1773,-89.951035,38.517544,800 Carlyle Ave,,Belleville,IL,62221,5509.0,ST CLAIR,0,0,0.0,0.0,0,0.0,0,0
7131,FRESH WAY FOODS,-87.560783,41.737289000000004,2600 E 87th St,,Chicago,IL,60617,2407.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7132,BEACHVIEW LIQUORS & FOODS,-87.666473,42.020359,7640 N Sheridan Rd,,Chicago,IL,60626,1309.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7133,Walmart SUPERCENTER #222 00222,-89.703438,38.138897,1410 N Market St,,Sparta,IL,62286,2302.0,RANDOLPH,0,0,0.0,0.0,0,0.0,0,0
7134,Walmart Supercenter 2231,-90.480011,41.469105,3930 44th Avenue Dr,,Moline,IL,61265,6401.0,ROCK ISLAND,0,0,0.0,0.0,0,0.0,0,0
7135,HUCKS 287,-88.926201,39.843464000000004,204 N 22nd St,,Decatur,IL,62521,2156.0,MACON,0,0,0.0,0.0,0,0.0,0,0
7136,SUPERMERCADO LA VILLA INC,-87.75212900000001,41.924229,5020 W Fullerton Ave,,Chicago,IL,60639,2414.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7137,MARIO'S MARKET WEST,-87.886971,41.121258000000005,1557 W Court St,,Kankakee,IL,60901,3214.0,KANKAKEE,0,0,0.0,0.0,0,0.0,0,0
7138,QUICK SHOP,-87.70082099999999,41.953934000000004,2901 W Irving Park Rd,,Chicago,IL,60618,3511.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7139,Walmart Supercenter 253,-90.314735,39.104061,1316 S State St,,Jerseyville,IL,62052,,JERSEY,0,0,0.0,0.0,0,0.0,0,0
7140,Gordon Food Service MP59,-87.79450200000001,41.607109,15606 Harlem Ave,,Orland Park,IL,60462,5119.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7141,GORDON FOOD SERVICE  MP60,-88.154175,41.522068,2901 W Jefferson St,,Joliet,IL,60435,5235.0,WILL,0,0,0.0,0.0,0,0.0,0,0
7142,SUPERMERCADO CHAPULTEPEC #2,-87.687126,41.817593,4159 S Campbell Ave,,Chicago,IL,60632,1121.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7143,"MARIBEL JIMENEZ, INC",-87.723434,41.924583,3850 W Fullerton Ave,,Chicago,IL,60647,2246.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7144,IVERSEN'S BAKERY,-87.680161,41.657866999999996,12948 Western Ave,,Blue Island,IL,60406,3918.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7145,Casey's General Store 1677,-89.108177,39.14217,302 S Superior St,,Ramsey,IL,62080,,FAYETTE,0,0,0.0,0.0,0,0.0,0,0
7146,Walgreens 03633,-90.480179,41.490234,4000 Avenue of the Cities,,Moline,IL,61265,4400.0,ROCK ISLAND,0,0,0.0,0.0,0,0.0,0,0
7147,Walgreens 03009,-88.834221,41.356213000000004,545 E Norris Dr,,Ottawa,IL,61350,2316.0,LA SALLE,0,0,0.0,0.0,0,0.0,0,0
7148,Walgreens 03089,-88.834724,41.120979,120 E Main St,,Streator,IL,61364,2901.0,LA SALLE,0,0,0.0,0.0,0,0.0,0,0
7149,Walgreens 02206,-90.668648,40.458767,300 E Jackson St,,Macomb,IL,61455,2307.0,MCDONOUGH,0,0,0.0,0.0,0,0.0,0,0
7150,ALDI 72,-88.207741,41.753009999999996,4444 Ogden Ave,,Aurora,IL,60504,7949.0,DU PAGE,0,0,0.0,0.0,0,0.0,0,0
7151,Walgreens 05720,-90.507187,41.477409,3601 16th St,,Moline,IL,61265,7259.0,ROCK ISLAND,0,0,0.0,0.0,0,0.0,0,0
7152,Walgreens 02591,-89.495346,41.859875,1275 N Galena Ave,,Dixon,IL,61021,1001.0,LEE,0,0,0.0,0.0,0,0.0,0,0
7153,WALGREENS 5356,-87.684441,41.808189,4710 S Western Ave,,Chicago,IL,60609,4060.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7154,Casey's General Store 1815,-90.694038,40.459026,1552 W Jackson St,,Macomb,IL,61455,1900.0,MCDONOUGH,0,0,0.0,0.0,0,0.0,0,0
7155,"EUROFRESH MARKET, INC.",-88.04729499999999,42.122158,130 W Northwest Hwy,,Palatine,IL,60067,3558.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7156,QIK N EZ #50,-89.63407099999999,39.839211,2800 N Peoria Rd,,Springfield,IL,62702,1250.0,SANGAMON,0,0,0.0,0.0,0,0.0,0,0
7157,QIK N EZ #52,-89.081161,39.386131,301 S Poplar St,,Pana,IL,62557,1611.0,CHRISTIAN,0,0,0.0,0.0,0,0.0,0,0
7158,Walmart Supercenter 1003,-88.56415600000001,41.654953000000006,6800 W US Highway 34,,Plano,IL,60545,9603.0,KENDALL,0,0,0.0,0.0,0,0.0,0,0
7159,QIK N EZ #55,-89.639725,39.7575,1101 Stevenson Dr,,Springfield,IL,62703,4221.0,SANGAMON,0,0,0.0,0.0,0,0.0,0,0
7160,QIK N EZ #56,-89.36048100000001,40.153881,520 Keokuk St,,Lincoln,IL,62656,1729.0,LOGAN,0,0,0.0,0.0,0,0.0,0,0
7161,CARNICERIA EL PORVENIR,-87.61930100000001,41.68399,150 E Kensington Ave,,Chicago,IL,60628,5639.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7162,QIK N EZ #58,-89.68656899999999,39.799667,1995 W Monroe St,,Springfield,IL,62704,1530.0,SANGAMON,0,0,0.0,0.0,0,0.0,0,0
7163,"NATURE'S BEST FOODS, INC.",-87.975502,41.802279999999996,257 N Cass Ave,,Westmont,IL,60559,1705.0,DU PAGE,0,0,0.0,0.0,0,0.0,0,0
7164,Casey's General Store 1900,-89.474731,40.591499,1850 S Main St,,Morton,IL,61550,2912.0,TAZEWELL,0,0,0.0,0.0,0,0.0,0,0
7165,ARTEMIO'S BAKERY #2,-87.673859,41.908103999999994,1443 N Milwaukee Ave,,Chicago,IL,60622,2015.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7166,Casey's General Store 1907,-89.768929,39.493057,613 1/2 S Springfield St,,Virden,IL,62690,1680.0,MACOUPIN,0,0,0.0,0.0,0,0.0,0,0
7167,Casey's General Store 1874,-88.94564799999999,38.614959999999996,1203 S Broadway Ave,,Salem,IL,62881,2406.0,MARION,0,0,0.0,0.0,0,0.0,0,0
7168,INTERNATIONAL GROCERY INC,-89.586472,40.700348,703 NE Perry Ave,,Peoria,IL,61603,3812.0,PEORIA,0,0,0.0,0.0,0,0.0,0,0
