,index,Unnamed: 0,Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,Double Value,Farmers Market?,place_id,googlename,googlelat,googlelon,googleaddress,cost,multiple,how,check,type
443,52963,52963,Quick Food Mart,-87.73085,41.880699,4200 W Madison St,,Chicago,IL,60624.0,2285.0,COOK,False,False,ChIJ_ecTnN4yDogRPEq4_zHaF5Q,Uncle Remus Chicken & Barbeque,41.8808132,-87.73212149999999,"4236 West Madison Street, Chicago",,1,address first word,Double Check- invalid type,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
444,53004,53004,Walgreens 09438,-87.624542,41.882992,30 N Michigan Ave,Lbby,Chicago,IL,60602.0,3400.0,COOK,False,False,ChIJk40LNKQsDogRd5vDs5YQjxs,Walgreens,41.88302799999999,-87.624905,"30 N Michigan Ave, Lbby 1, Chicago",2.0,3,name 1 and address 1 (more than one first) ,0,"['convenience_store', 'health', 'food', 'clothing_store', 'store', 'point_of_interest', 'establishment']"
445,53173,53173,649 North Ashland Ave Gas & Mini Mart LLC,-87.66716,41.8936,649 N Ashland Ave,,Chicago,IL,60622.0,6013.0,COOK,False,False,ChIJT8iA7igtDogRQvb9V5NxO38,Marathon Gas,41.8940277,-87.6668768,"649 North Ashland Avenue, Chicago",,1,address first word,0,"['gas_station', 'convenience_store', 'food', 'store', 'point_of_interest', 'establishment']"
446,53290,53290,Dollar  General 11784,-87.63022600000002,41.750793,219 W 79th St,,Chicago,IL,60620.0,1129.0,COOK,False,False,,,,,,,0,name second word,0,0
447,53376,53376,Rog Marathon,-87.665962,42.018734,7550 N Sheridan Rd,,Chicago,IL,60626.0,1429.0,COOK,False,False,ChIJJ-LB7UnQD4gRkyhMI_zN6CM,Mobil,42.01892429999999,-87.6663909,"7550 North Sheridan Road, Chicago",,1,address first word,0,"['gas_station', 'point_of_interest', 'establishment']"
448,53570,53570,Roxanne Foodmart Inc,-87.645073,41.79237,5601 S Halsted St,,Chicago,IL,60621.0,2231.0,COOK,False,False,,,,,,,0,name second word,0,0
449,53865,53865,M K Poultry Inc,-87.689293,41.801098,2600 W 51st St,,Chicago,IL,60632.0,1543.0,COOK,False,False,ChIJDZj9kBkuDogRVHIbqLDmHwc,M & K Poultry,41.801336,-87.689396,"2600 West 51st Street, Chicago",,1,address first word,0,"['food', 'store', 'point_of_interest', 'establishment']"
450,53917,53917,7-Eleven 13314,-87.702446,41.706108,10301 S Sawyer Ave,,Chicago,IL,60655.0,2411.0,COOK,False,False,ChIJTQ6KJ9I6DogR7hyTyc0J-kk,7-Eleven,41.7058356,-87.70226819999999,"10301 South Sawyer Avenue, Chicago",1.0,1,address first word,Double Check- invalid type,"['convenience_store', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
451,53932,53932,Buy Low Food & Liquor,-87.645638,41.735989,849 W 87th St,,Chicago,IL,60620.0,3200.0,COOK,False,False,ChIJT3970oklDogRERHadRnYm2c,Buy Low Food & Liquor,41.7356372,-87.64558799999999,"849 West 87th Street, Chicago",,1,address first word,0,"['liquor_store', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
452,54455,54455,Asad Sales Inc,-87.69567099999998,41.808311,2844 W 47th St,,Chicago,IL,60632.0,1948.0,COOK,False,False,ChIJGyLg9rwsDogRpdHhZXWuG1w,"Cubicle Concepts, LLC",41.806199,-87.69981399999999,"4801 South Whipple Street b, Chicago",,1,name second word,Double Check- Address mismatch,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
453,54808,54808,"African SuperMarket & Liquors, Inc",-87.730339,41.880699,4156 W Madison St,,Chicago,IL,60624.0,2303.0,COOK,False,False,ChIJm65VRNwyDogRJ9Uv6yv5riQ,African Supermarket,41.8808422,-87.73040069999999,"4158 West Madison Street, Chicago",,1,name 1 & 2 (none first),0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
454,54912,54912,Andy's Deli & Mikolajczyk Sausage Shop Inc 1,-87.772163,41.980469,5442 N Milwaukee Ave,,Chicago,IL,60630.0,1225.0,COOK,False,False,ChIJQUrezqvOD4gRPk5eTeisJGs,Andy's Deli & Mikolajczyk Sausage Shop Inc,41.9803188,-87.7724763,"5442 North Milwaukee Avenue, Chicago",1.0,1,address first word,0,"['food', 'store', 'point_of_interest', 'establishment']"
455,55066,55066,CVS 5482,-87.766693,41.946308,3615 N Central Ave,,Chicago,IL,60634.0,2753.0,COOK,False,False,ChIJMb6DkifND4gRjmuuC_QfOsY,CVS,41.9465906,-87.7666443,"3615 North Central Avenue, Chicago",,1,address first word,0,"['convenience_store', 'health', 'food', 'store', 'point_of_interest', 'establishment']"
456,55077,55077,CVS 8910,-87.62059,41.885849,205 N Columbus,,Chicago,IL,60601.0,,COOK,False,False,ChIJZ04P0KcsDogRLws3oQaSYU0,CVS,41.8859316,-87.6203038,"205 North Columbus Drive, Chicago",,4,name 1 and address 1 (more than one first) ,0,"['convenience_store', 'health', 'food', 'store', 'point_of_interest', 'establishment']"
457,55131,55131,Dollar Tree 633,-87.723274,41.800041,5119 S Pulaski Rd,,Chicago,IL,60632.0,4219.0,COOK,False,False,ChIJj46jZ5YxDogRlnnQ8TuVVI4,Dollar Tree,41.7993503,-87.722321,"5119 South Pulaski Road, Chicago",1.0,1,address first word,0,"['food', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
458,55222,55222,Taza Bakery,-87.70734399999998,41.997467,3100 W Devon Ave,,Chicago,IL,60659.0,1408.0,COOK,False,False,ChIJDT8iySLOD4gRNOgUVaefzis,Taza Bakery Inc,41.9977464,-87.7071716,"3100 West Devon Avenue, Chicago",1.0,1,address first word,Double Check- invalid type,"['bakery', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
459,55247,55247,Dollar Tree 4204,-87.662674,41.682613,11618 S Marshfield Ave,,Chicago,IL,60643.0,,COOK,False,False,ChIJu8TorvYkDogRI3sepvDccAU,Dollar Tree,41.6826464,-87.66388049999999,"11618 South Marshfield Avenue, Chicago",1.0,1,address first word,0,"['food', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
460,55363,55363,7-Eleven 33839a,-87.664688,41.869362,1524 W Taylor St,,Chicago,IL,60607.0,4016.0,COOK,False,False,ChIJpWfUrxstDogRxy3yHvFsxzU,7-Eleven,41.869425,-87.6650446,"1524 West Taylor Street, Chicago",1.0,1,address first word,Double Check- invalid type,"['convenience_store', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
461,55411,55411,Aldi 32,-87.654701,41.914635,1836 N Clybourn Ave,,Chicago,IL,60614.0,4902.0,COOK,False,False,ChIJ8-z6wCHTD4gRDlwfnijjU_Q,ALDI,41.914337,-87.6549089,"1836 North Clybourn Avenue, Chicago",1.0,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
462,55412,55412,Aldi 82,-87.71021999999998,41.939346,3320 W Belmont Ave,,Chicago,IL,60618.0,5513.0,COOK,False,False,ChIJT9q-O5zND4gRNQ72iu0mevs,ALDI,41.93983410000001,-87.7118611,"3320 B W. Belmont, Chicago",1.0,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
463,55456,55456,Marathon,-87.692451,41.990517,2500 W Peterson Ave,,Chicago,IL,60659.0,4109.0,COOK,False,False,ChIJd0vg2B3OD4gR_7VWhKDCdBM,Mobil,41.9906431,-87.69258760000001,"2500 West Peterson Avenue, Chicago",,2,name 1 and address 1 (more than one first) ,0,"['gas_station', 'point_of_interest', 'establishment']"
464,55781,55781,Aldi 70,-87.663513,41.754902,7627 S Ashland Ave,,Chicago,IL,60620.0,4248.0,COOK,False,False,ChIJ_8zRzpgvDogRwdIctnOWbew,ALDI,41.75489109999999,-87.6633094,"7627 South Ashland Avenue, Chicago",1.0,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
465,55942,55942,Dollar General 11821,-87.641335,41.664413,12635 S Halsted St,,Chicago,IL,60628.0,7012.0,COOK,False,False,ChIJcWzRrXMkDogR3lQ3yaBIb80,Dollar General,41.6636234,-87.6410909,"12635 South Halsted Street, Chicago",1.0,1,address first word,0,"['food', 'store', 'point_of_interest', 'establishment']"
466,56215,56215,79TH STATE SHELL,-87.624504,41.75145300000001,7859 S State St,,Chicago,IL,60619.0,2307.0,COOK,False,False,ChIJoyjOTEkvDogRkngaJ70m048,Shell,41.751116,-87.624201,"7859 South State Street, Chicago",2.0,1,name 1 and address 1 (more than one first) ,0,"['gas_station', 'point_of_interest', 'establishment']"
467,56500,56500,Costco Wholesale 0380,-87.676773,41.931038,2746 N Clybourn Ave,,Chicago,IL,60614.0,1006.0,COOK,False,False,ChIJtwDNPvPSD4gROnr2fox9rJA,Costco Gasoline,41.93059369999999,-87.6765606,"2746 North Clybourn Avenue, Chicago",2.0,1,address first word,0,"['gas_station', 'point_of_interest', 'establishment']"
468,56723,56723,MIDWAY GAS,-87.74026500000002,41.77853,4710 W 63rd St,,Chicago,IL,60629.0,5507.0,COOK,False,False,ChIJDx0t2QExDogRkmG5lky-G6c,BP,41.778702,-87.740265,"4710 West 63rd Street, Chicago",,1,address first word,0,"['gas_station', 'convenience_store', 'food', 'store', 'point_of_interest', 'establishment']"
469,56861,56861,Huerta Food Store,-87.70300300000002,41.774994,6509 S Kedzie Ave,,Chicago,IL,60629.0,3430.0,COOK,False,False,ChIJ0QOZfSwwDogRjf7P_uEEGQM,Huerta Food Store,41.7750024,-87.7029161,"6509 South Kedzie Avenue, Chicago",,1,address first word,0,"['point_of_interest', 'establishment']"
470,57451,57451,European Food Mart,-87.657501,41.994453,1063 W Granville Ave,,Chicago,IL,60660.0,2131.0,COOK,False,False,ChIJx7h7_Z_RD4gRHgTkEAm9yI4,European Food Mart,41.99447219999999,-87.6580891,"1063 West Granville Avenue, Chicago",,1,address first word,0,"['food', 'store', 'point_of_interest', 'establishment']"
471,57686,57686,CVS 1054,-87.641129,41.883224,101 N Clinton St,,Chicago,IL,60661.0,,COOK,False,False,ChIJ40duVsYsDogRaGFV6akbMUI,CVS,41.883472,-87.64084509999999,"101 North Clinton Street, Chicago",,3,name 1 and address 1 (more than one first) ,0,"['convenience_store', 'health', 'food', 'store', 'point_of_interest', 'establishment']"
472,57815,57815,Dollar General 12061,-87.72672299999998,41.866173,4046 W Roosevelt Rd,,Chicago,IL,60624.0,3937.0,COOK,False,False,ChIJhSRNE_AyDogRwqrqpbx9TSU,Dollar General,41.8664461,-87.72675079999999,"4046 West Roosevelt Road, Chicago",1.0,1,address first word,0,"['food', 'store', 'point_of_interest', 'establishment']"
473,57972,57972,Panaderia y Pizzeria la Villa,-87.753281,41.92421,5050 W Fullerton Ave,,Chicago,IL,60639.0,2414.0,COOK,False,False,ChIJ7-lOT-zMD4gR40U3U2-KXlk,La Villa Bakery,41.92430609999999,-87.753287,"5050 West Fullerton Avenue, Chicago",,1,address first word,0,"['bakery', 'food', 'store', 'point_of_interest', 'establishment']"
474,58116,58116,P & S Meats,-87.80677,42.017967,7544 N Milwaukee Ave,,Chicago,IL,60631.0,4444.0,COOK,False,False,ChIJaddIXf3ID4gRqrWydL4NExc,P & S Meats,42.0181677,-87.8072195,"7544 North Milwaukee Avenue, Chicago",,1,address first word,0,"['food', 'store', 'point_of_interest', 'establishment']"
475,58224,58224,CVS 8980,-87.66080500000002,42.000542,6510 N Sheridan Rd,,Chicago,IL,60626.0,5312.0,COOK,False,False,ChIJPVCp16bRD4gRuutOjMu59Tk,CVS,42.00066,-87.66107,"6510 North Sheridan Road, Chicago",,2,name 1 and address 1 (more than one first) ,0,"['convenience_store', 'health', 'food', 'store', 'point_of_interest', 'establishment']"
476,58285,58285,Las Isabeles Grocery,-87.71476700000002,41.842499,2700 S Central Park Ave,,Chicago,IL,60623.0,4632.0,COOK,False,False,ChIJeUZG_0EyDogReN-2HuP5_5k,Custom Staffing Inc,41.8423028,-87.7173622,"2700 South Lawndale Avenue, Chicago",,1,address first word,0,"['point_of_interest', 'establishment']"
477,58532,58532,Lucys Groceries,-87.733917,41.924355,4257 W Fullerton Ave,,Chicago,IL,60639.0,2049.0,COOK,False,False,ChIJAS-RgB3ND4gRkDqDLfkY2uE,International Foods Inc,41.924625,-87.7368838,"4404 West Fullerton Avenue, Chicago",,1,name second word,Double Check- Address mismatch,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
478,58539,58539,Dill Pickle Food Co-op,-87.703888,41.924725,3039 W Fullerton Ave,,Chicago,IL,60647.0,2807.0,COOK,False,False,ChIJu0mi82TND4gRYQUGl3t1GYQ,Dill Pickle Food Co-op,41.9245798,-87.7039229,"3039 West Fullerton Avenue, Chicago",,1,address first word,0,"['grocery_or_supermarket', 'health', 'food', 'store', 'point_of_interest', 'establishment']"
479,58571,58571,A. N. Foodmarket Inc,-87.7061,41.85181,3222 W Cermak Rd,,Chicago,IL,60623.0,3309.0,COOK,False,False,ChIJowu--nsyDogR2fmGr9sdSsY,ATM (Chase Bank),41.8516934,-87.7030563,"3101 West Cermak Road # A, Chicago",,1,name first word,Double Check- Address mismatch,"['atm', 'finance', 'point_of_interest', 'establishment']"
480,58791,58791,La Primera,-87.668037,41.972935,5014 N Clark St,,Chicago,IL,60640.0,2824.0,COOK,False,False,ChIJJT1S1SfSD4gRI4etL8ScAAM,La Primera Fruit Liquor & Meat,41.9729024,-87.6683042,"5012 North Clark Street, Chicago",,1,name first word,0,"['grocery_or_supermarket', 'liquor_store', 'food', 'store', 'point_of_interest', 'establishment']"
481,59141,59141,Loomis Food Market,-87.659035,41.768871,6859 S Loomis Blvd,,Chicago,IL,60636.0,3403.0,COOK,False,False,ChIJe-cDLqgvDogRrcIAauJcA60,Homies Kitchen,41.76876459999999,-87.65859449999999,"6859 South Loomis Boulevard, Chicago",,1,address first word,Double Check- invalid type,"['restaurant', 'food', 'point_of_interest', 'establishment']"
482,59338,59338,Dollar General 11833,-87.71466099999998,41.917294,3527 W Armitage Ave,,Chicago,IL,60647.0,3602.0,COOK,False,False,ChIJmyamfWrND4gRVc1eIyNDI54,Dollar General,41.9172132,-87.7146672,"3527 West Armitage Avenue, Chicago",1.0,1,address first word,0,"['food', 'store', 'point_of_interest', 'establishment']"
483,59346,59346,Dollar Tree 4143,-87.572571,41.722504,2101 E 95th St,,Chicago,IL,60617.0,,COOK,False,False,ChIJbQxA8c4nDogR9_Kky5-1MiA,Dollar Tree,41.7221236,-87.5725123,"2101 East 95th Street, Chicago",1.0,1,address first word,0,"['food', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
484,59348,59348,Dollar Tree 4215,-87.682518,41.928616,2593 N Elston Ave,,Chicago,IL,60647.0,2003.0,COOK,False,False,ChIJd5W01I3SD4gRdmmzeAFlSHo,Dollar Tree,41.92928099999999,-87.6811547,"2593 N Elston Ave, Chicago",1.0,1,address first word,0,"['food', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
485,59397,59397,7-Eleven 33526C,-87.746994,41.945477,3541 N Cicero Ave,,Chicago,IL,60641.0,3731.0,COOK,False,False,ChIJnfK2n1rMD4gRCJR2_YBFQ1g,7-Eleven,41.945847,-87.74636369999999,"3541 North Cicero Avenue, Chicago",1.0,1,name 1 and address 1 (more than one first) ,Double Check- invalid type,"['convenience_store', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
486,60668,60668,Pulaski Dollar & Food Inc,-87.725288,41.871487,737 S Pulaski Rd,,Chicago,IL,60624.0,4059.0,COOK,False,False,,,,,,,0,name second word,0,0
487,60737,60737,Hegewisch Fruit Market,-87.547089,41.655239,13209 S Baltimore Ave,,Chicago,IL,60633.0,1431.0,COOK,False,False,ChIJG2BCKVMnDogRugbvBShEnmM,Hegewisch Fruit Market,41.6551536,-87.54673199999999,"13209 South Baltimore Avenue, Chicago",,2,name 1 and address 1 (more than one first) ,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
488,60824,60824,Park Packing Of Chicago,-87.663979,41.819122,1544 W 41st St,,Chicago,IL,60609.0,2415.0,COOK,False,False,ChIJ7U_4-NYtDogRUTOBiMOHrSo,"Park Packing Co., Inc.",41.81926599999999,-87.66487699999999,"4107 South Ashland Avenue, Chicago",,1,name first word,Double Check- Address mismatch,"['food', 'store', 'point_of_interest', 'establishment']"
489,61043,61043,Supermercado Mi Barrio,-87.687027,41.813961,4359 S Campbell Ave,,Chicago,IL,60632.0,1209.0,COOK,False,False,,,,,,,0,name second word,0,0
490,61101,61101,El Naranjo #357,-87.66526800000003,41.819611,4100 S Ashland Ave,Unit 1,Chicago,IL,60609.0,2330.0,COOK,False,False,ChIJ70dDUtYtDogRTQEobnnT37g,Swap-O-Rama Flea Markets,41.818783,-87.667523,"4100 South Ashland Avenue, Chicago",,1,address first word,0,"['point_of_interest', 'establishment']"
491,61248,61248,Natures Way Health Store,-87.58575400000002,41.740379,8504 S Stony Island Ave,,Chicago,IL,60617.0,2246.0,COOK,False,False,ChIJr4t8eIQoDogRxvoWUj-SZQ4,Natures Way Health Food Store,41.7403616,-87.585888,"8504 South Stony Island Avenue, Chicago",,1,address first word,0,"['health', 'food', 'store', 'point_of_interest', 'establishment']"
492,61401,61401,7-Eleven 32930A,-87.690063,42.005383,6801 N Western Ave,,Chicago,IL,60645.0,4708.0,COOK,False,False,ChIJc-JegdrRD4gRlWKGsAzmt1s,7-Eleven,42.005363,-87.6896269,"6801 North Western Avenue, Chicago",1.0,1,address first word,Double Check- invalid type,"['convenience_store', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
493,61613,61613,Barkaat Foods,-87.646011,41.82515,3810 S Halsted St,,Chicago,IL,60609.0,1611.0,COOK,False,False,ChIJr-ffIyUsDogR8IEXECsapwA,Barkaat Foods Meat,41.8251466,-87.6460979,"3810 South Halsted Street, Chicago",,1,name 1 and address 1 (more than one first) ,0,"['food', 'point_of_interest', 'establishment']"
494,61614,61614,Kildare & 67th Marathon,-87.730179,41.771309,4300 W Marquette Rd,,Chicago,IL,60629.0,5648.0,COOK,False,False,ChIJ7cv00DwsDogRAMDACa2m4K8,Chicago,41.8781136,-87.6297982,Chicago,,16,"name second word, >1 results",Double Check- Many results,"['locality', 'political']"
495,61628,61628,Aldi 16,-87.736298,41.906757,1440 N Kostner Ave,,Chicago,IL,60651.0,1602.0,COOK,False,False,ChIJYzW3_SfND4gRgDtXWAy8qVU,ALDI,41.90719259999999,-87.7366011,"1440 North Kostner Avenue, Chicago",1.0,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
496,61632,61632,Division Citgo & Food Mart,-87.697281,41.902874,2805 W Division St,,Chicago,IL,60622.0,2703.0,COOK,False,False,ChIJdS034anSD4gRXSugZ9qNKME,Citgo,41.9026287,-87.6972998,"2805 West Division Street, Chicago",,1,address first word,0,"['gas_station', 'point_of_interest', 'establishment']"
497,61862,61862,Walgreens 02432,-87.6343,41.879417,200 W Adams St,,Chicago,IL,60606.0,5208.0,COOK,False,False,ChIJ9yq8u74sDogR0Mma0YPVsPE,Walgreens,41.879499,-87.634216,"200 West Adams Street, Chicago",2.0,4,name 1 and address 1 (more than one first) ,0,"['convenience_store', 'health', 'food', 'clothing_store', 'store', 'point_of_interest', 'establishment']"
498,61863,61863,Walgreens 10558,-87.637024,41.87872700000001,250 S Wacker Dr,Lbby 1,Chicago,IL,60606.0,5885.0,COOK,False,False,ChIJyx0TC78sDogRP9-jtvD9ctY,Walgreens,41.8783856,-87.637407,"250 South Wacker Drive, Chicago",2.0,4,name 1 and address 1 (more than one first) ,0,"['convenience_store', 'health', 'food', 'clothing_store', 'store', 'point_of_interest', 'establishment']"
499,62023,62023,Open Produce,-87.585083,41.795162,1635 E 55th St,,Chicago,IL,60615.0,5838.0,COOK,False,False,ChIJ5VEfS3MpDogRO5WcsBkt2eU,Open Produce,41.7951104,-87.58516019999999,"1635 East 55th Street, Chicago",,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
500,62077,62077,Shop & Save Market 5,-87.759682,41.79607,5829 S Archer Ave,,Chicago,IL,60638.0,1646.0,COOK,False,False,ChIJJ6eXAj8xDogR4adwTasTo5k,Shop & Save Market,41.7955829,-87.75968549999999,"5829 South Archer Avenue, Chicago",,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
501,62131,62131,JJ Peppers Food Store 22,-87.76664699999998,41.945286,3555 N Central Ave,,Chicago,IL,60634.0,4407.0,COOK,False,False,ChIJd5us1HrMD4gR7rFaZbmb67U,J J Peppers Food Store,41.945756,-87.766357,"3555 North Central Avenue, Chicago",,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
502,62156,62156,Kolatek's Super Bakery & Deli,-87.806206,41.924503,2445 N Harlem Ave,,Chicago,IL,60707.0,2047.0,COOK,False,False,ChIJmz9HdRrLD4gRTezbw8dyuhU,Kolatek's Bakery,41.9249624,-87.8058811,"2445 North Harlem Avenue, Chicago",,1,address first word,0,"['bakery', 'food', 'store', 'point_of_interest', 'establishment']"
503,62227,62227,Chicago Botanic Garden's Green Youth Farm,-87.71446999999998,41.854572,3555 W. Ogden St.,,Chicago,IL,60623.0,,COOK,False,True,,,,,,,0,name second word,0,0
504,62284,62284,Madison Food Mart Inc,-87.760216,41.880375,5402 W Madison St,,Chicago,IL,60644.0,4029.0,COOK,False,False,ChIJi2zdikAzDogRuY43EMA44qE,Whale's Beef & Pizza,41.88058760000001,-87.7578743,"5300 West Madison Street, Chicago",,8,name 1 & 2 (none first),Double Check- invalid type,"['restaurant', 'food', 'point_of_interest', 'establishment']"
505,62459,62459,Eden Place Farmers Market,-87.635696,41.813061,4417 S Stewart Ave,,Chicago,IL,60609.0,3622.0,COOK,False,False,ChIJzWRU-6AuDogRcxfKOyAd4Jk,Eden Place Nature Center,41.814009,-87.63533890000001,"4417 South Stewart Avenue, Chicago",,1,address first word,0,"['park', 'point_of_interest', 'establishment']"
506,62574,62574,The Unit,-87.563011,41.759003,2523 E 75th St,,Chicago,IL,60649.0,3703.0,COOK,False,False,ChIJ9_DtOEEoDogRmsh8Op0SFic,Unit,41.75889859999999,-87.56294299999999,"2523 East 75th Street, Chicago",,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
507,62597,62597,Food & Paper Supply Co.,-87.602051,41.763393,7247 S South Chicago Ave,,Chicago,IL,60619.0,1294.0,COOK,False,False,ChIJIc4hBcMoDogRoOJWIweWQiE,Food & Paper Supply Co,41.763376,-87.6015128,"7247 South South Chicago Avenue, Chicago",,1,address first word,0,"['food', 'point_of_interest', 'establishment']"
508,62624,62624,Circle K 6711,-87.64949,41.947247,801 W Addison St,,Chicago,IL,60613.0,4344.0,COOK,False,False,ChIJtTngXLDTD4gRCxYFsRZLVAU,Circle K,41.94691549999999,-87.649924,"801 West Addison Street, Chicago",1.0,1,address first word,0,"['convenience_store', 'food', 'store', 'point_of_interest', 'establishment']"
509,62745,62745,Boulevard Food & Liquor,-87.775261,41.953144,5922 Irving Park,,Chicago,IL,60634.0,,COOK,False,False,ChIJ34C95nXMD4gRjSXvdXbLtEE,Boulevard Food Mart,41.9532537,-87.775429,"5922 West Irving Park Road, Chicago",,1,address first word,0,"['convenience_store', 'food', 'store', 'point_of_interest', 'establishment']"
510,62793,62793,Four Seasons Citgo,-87.64225,41.684799,11500 S Halsted St,,Chicago,IL,60628.0,5218.0,COOK,False,False,ChIJOT4WZUYkDogRJcbbKdM0Mbo,"FOUR SEASONS CITGO, INC.",41.6847156,-87.6428031,"11500 South Halsted Street, Chicago",,1,address first word,0,"['gas_station', 'point_of_interest', 'establishment']"
511,62974,62974,"PAYLESS FOOD MART, INC. 0",-87.70303299999998,41.777878,6359 S Kedzie Ave,,Chicago,IL,60629.0,2723.0,COOK,False,False,ChIJUU73GNMxDogRseRZXPgU4c8,Pepe's Mexican Restaurant,41.7788376,-87.704444,"3231 West 63rd Street, Chicago",,4,"name second word, >1 results",Double Check- invalid type,"['restaurant', 'food', 'point_of_interest', 'establishment']"
512,63051,63051,Supermercado Castillos Inc,-87.692451,41.786465,2732 W 59th St,,Chicago,IL,60629.0,1508.0,COOK,False,False,ChIJ0YCXjyguDogR07NpML-hMYM,Supermercado Sanchez,41.786631,-87.6946682,"2824 West 59th Street, Chicago",,1,name first word,Double Check- Address mismatch,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
513,63134,63134,Big Salem Inc,-87.58244300000001,41.766197,1724 E 71st St,,Chicago,IL,60649.0,1913.0,COOK,False,False,ChIJtT1H6vkoDogRueFeWiUDZvM,Big Salem's Food Mart,41.7663979,-87.58239309999999,"1724 East 71st Street, Chicago",,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
514,63154,63154,Dollarttree 653,-87.688583,41.85194,2517 W Cermak Rd,,Chicago,IL,60608.0,3719.0,COOK,False,False,ChIJrxmbVoMtDogRBux5TIlmzY0,Dollar Tree,41.85108119999999,-87.688636,"2517 West Cermak Road, Chicago",1.0,1,address first word,0,"['food', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
515,63775,63775,Friendly Food and Liquor,-87.75251800000002,41.958279,4262 N Milwaukee Ave,,Chicago,IL,60641.0,1643.0,COOK,False,False,ChIJHwLKPz_MD4gRBlR8T2WM3z8,Friendly F & L Corporation,41.9586104,-87.7529237,"4262 North Milwaukee Avenue, Chicago",,1,address first word,0,"['liquor_store', 'store', 'point_of_interest', 'establishment']"
516,63798,63798,Black Oaks Center,-87.60028100000002,41.752712,7823 S Ellis Ave,,Chicago,IL,60619.0,3213.0,COOK,False,False,,,,,,,0,name second word,0,0
517,63814,63814,Awami Bazaar and Zabiha Meat Inc,-87.68903399999998,41.997787,2340 W Devon Ave,,Chicago,IL,60659.0,2011.0,COOK,False,False,ChIJ8yTeHt3RD4gRcp78W9afWPg,Awami Bazaar,41.9978449,-87.68913669999999,"2340 West Devon Avenue, Chicago",,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
518,63958,63958,67TH WENTWORTH MARATHON,-87.629936,41.772991,6659 S Wentworth Ave,,Chicago,IL,60621.0,3821.0,COOK,False,False,ChIJPwwFRyYvDogRIPXRB1vdd_c,Fisherman's Island,41.773076,-87.62944159999999,"6659 South Wentworth Avenue, Chicago",,2,name 1 and address 1 (more than one first) ,0,"['food', 'point_of_interest', 'establishment']"
519,63994,63994,INDO-PAK MEAT & GROCERY,-87.726524,41.968311,3922 W Lawrence Ave,,Chicago,IL,60625.0,6212.0,COOK,False,False,ChIJpTFomtrND4gRIl97-D8N8jo,Indo Pak Meat & Grocery LLC,41.9683994,-87.72651429999999,"3922 West Lawrence Avenue, Chicago",,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
520,64096,64096,"ALI GABER, INC. 0",-87.71408100000002,41.749565,3645 W 79th St,,Chicago,IL,60652.0,1818.0,COOK,False,False,ChIJ1W3mQhIwDogRIiZOh_7khKk,Chaz Mini Mart & Gas,41.7493043,-87.7140896,"3645 West 79th Street, Chicago",,1,address first word,0,"['gas_station', 'point_of_interest', 'establishment']"
521,64189,64189,Circle K 6735,-87.65813399999998,41.932617,1160 W Diversey Pkwy,,Chicago,IL,60614.0,1319.0,COOK,False,False,ChIJV8FXMf7SD4gRBTVn6V42XMc,Shell,41.93273559999999,-87.65828239999999,"1160 West Diversey Parkway, Chicago",2.0,1,address first word,0,"['gas_station', 'point_of_interest', 'establishment']"
